dens densp densn dense densm mup mun mue xm vsigma vomega vrho E Eh El P Ph Pl
0.00564632 5.92319e-06 0.00564043 5.89038e-06 0 931.198 942.235 11.0367 921.764 0.018356 0.0124896 -0.00502623 5.3143 5.31425 4.88097e-05 0.00588977 0.00587357 1.62006e-05
0.00569628 6.04951e-06 0.00569026 6.01803e-06 0 931.132 942.247 11.1157 921.614 0.0185159 0.0126 -0.00507041 5.36137 5.36132 5.02235e-05 0.00596197 0.0059453 1.66709e-05
0.00574624 6.17753e-06 0.00574009 6.14732e-06 0 931.065 942.26 11.1945 921.463 0.0186757 0.0127104 -0.00511458 5.40844 5.40839 5.16657e-05 0.00603443 0.00601728 1.71506e-05
0.0057962 6.30723e-06 0.00578992 6.27826e-06 0 930.999 942.273 11.2733 921.313 0.0188356 0.0128209 -0.00515874 5.45552 5.45547 5.31367e-05 0.00610715 0.00608951 1.76399e-05
0.00584616 6.43865e-06 0.00583975 6.41085e-06 0 930.933 942.285 11.3519 921.163 0.0189954 0.0129313 -0.0052029 5.5026 5.50254 5.46367e-05 0.00618012 0.00616198 1.81389e-05
0.00589612 6.57176e-06 0.00588958 6.54511e-06 0 930.867 942.298 11.4305 921.013 0.0191551 0.0130417 -0.00524705 5.54967 5.54962 5.61661e-05 0.00625335 0.0062347 1.86477e-05
0.00594608 6.70659e-06 0.0059394 6.68104e-06 0 930.801 942.31 11.5089 920.863 0.0193148 0.0131521 -0.00529119 5.59675 5.59669 5.77252e-05 0.00632683 0.00630766 1.91664e-05
0.00599604 6.84315e-06 0.00598922 6.81865e-06 0 930.735 942.322 11.5872 920.713 0.0194745 0.0132626 -0.00533532 5.64383 5.64377 5.93144e-05 0.00640056 0.00638087 1.96951e-05
0.006046 6.98142e-06 0.00603904 6.95795e-06 0 930.669 942.335 11.6655 920.564 0.0196341 0.013373 -0.00537945 5.6909 5.69084 6.09339e-05 0.00647456 0.00645432 2.02338e-05
0.00609596 7.12143e-06 0.00608886 7.09894e-06 0 930.603 942.347 11.7436 920.414 0.0197937 0.0134834 -0.00542356 5.73798 5.73792 6.25841e-05 0.0065488 0.00652802 2.07829e-05
0.00614592 7.26317e-06 0.00613868 7.24162e-06 0 930.537 942.359 11.8216 920.264 0.0199532 0.0135938 -0.00546767 5.78506 5.785 6.42653e-05 0.0066233 0.00660196 2.13422e-05
0.00619588 7.40665e-06 0.0061885 7.38601e-06 0 930.472 942.371 11.8995 920.114 0.0201127 0.0137042 -0.00551178 5.83214 5.83208 6.59779e-05 0.00669806 0.00667615 2.1912e-05
0.00624584 7.55188e-06 0.00623831 7.53212e-06 0 930.406 942.383 11.9773 919.964 0.0202722 0.0138146 -0.00555587 5.87922 5.87916 6.77221e-05 0.00677307 0.00675058 2.24924e-05
0.0062958 7.69887e-06 0.00628812 7.67994e-06 0 930.34 942.395 12.055 919.815 0.0204316 0.013925 -0.00559996 5.9263 5.92623 6.94984e-05 0.00684834 0.00682525 2.30834e-05
0.00634576 7.84761e-06 0.00633793 7.82949e-06 0 930.274 942.407 12.1326 919.665 0.020591 0.0140354 -0.00564404 5.97339 5.97332 7.13071e-05 0.00692386 0.00690017 2.36852e-05
0.00639572 7.99812e-06 0.00638774 7.98078e-06 0 930.209 942.419 12.2101 919.515 0.0207503 0.0141458 -0.00568811 6.02047 6.0204 7.31484e-05 0.00699963 0.00697534 2.42979e-05
0.00644569 8.1504e-06 0.00643755 8.1338e-06 0 930.143 942.431 12.2875 919.366 0.0209096 0.0142562 -0.00573217 6.06755 6.06748 7.50228e-05 0.00707567 0.00705074 2.49216e-05
0.00649565 8.30445e-06 0.00648736 8.28857e-06 0 930.078 942.443 12.3649 919.216 0.0210689 0.0143666 -0.00577623 6.11464 6.11456 7.69306e-05 0.00715195 0.0071264 2.55564e-05
0.00654561 8.46029e-06 0.00653716 8.4451e-06 0 930.012 942.454 12.4421 919.067 0.0212281 0.014477 -0.00582028 6.16172 6.16164 7.8872e-05 0.0072285 0.00720229 2.62025e-05
0.00659557 8.61791e-06 0.00658696 8.60338e-06 0 929.947 942.466 12.5192 918.917 0.0213873 0.0145874 -0.00586432 6.20881 6.20872 8.08475e-05 0.0073053 0.00727844 2.68599e-05
0.00664553 8.77733e-06 0.00663676 8.76343e-06 0 929.881 942.478 12.5962 918.768 0.0215464 0.0146978 -0.00590835 6.25589 6.25581 8.28574e-05 0.00738235 0.00735482 2.75287e-05
0.00669549 8.93855e-06 0.00668656 8.92526e-06 0 929.816 942.489 12.6732 918.619 0.0217055 0.0148082 -0.00595237 6.30298 6.30289 8.4902e-05 0.00745966 0.00743145 2.82092e-05
0.00674545 9.10157e-06 0.00673636 9.08886e-06 0 929.751 942.501 12.75 918.469 0.0218646 0.0149186 -0.00599639 6.35006 6.34998 8.69817e-05 0.00753723 0.00750833 2.89013e-05
0.00679541 9.2664e-06 0.00678615 9.25425e-06 0 929.686 942.512 12.8268 918.32 0.0220236 0.0150289 -0.0060404 6.39715 6.39706 8.90968e-05 0.00761506 0.00758545 2.96052e-05
0.00684537 9.43305e-06 0.00683595 9.42144e-06 0 929.62 942.524 12.9034 918.171 0.0221826 0.0151393 -0.0060844 6.44424 6.44415 9.12477e-05 0.00769314 0.00766282 3.0321e-05
